,Symbol,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2012-04-30,2012-07-31,2012-10-31,2013-01-31,2013-04-30,2013-07-31,2013-10-31,2014-01-31,2014-04-30,2014-07-31,2014-10-31,2015-01-31,2015-04-30,2015-07-31,2015-10-31,2016-01-31,2016-04-30,2016-07-31,2016-10-31,2017-01-31,2017-04-30,2017-07-31,2017-10-31,2018-01-31,2018-04-30,2018-07-31,2018-10-31,2019-01-31,2019-04-30,2019-07-31,2019-10-31,2020-01-31,2020-04-30,2020-07-31,2020-10-31,2021-01-31,2021-04-30,2021-07-31,2021-10-31,2022-01-31,2022-04-30,2022-07-31,2022-10-31,2023-01-31,2011-09-30,2011-12-31
EBIT,ES,1942154000.0,2998774000.0,3167989000.0,2927540000.0,3411281000.0,2772432000.0,3209776000.0,3071243000.0,3916768000.0,2962069000.0,3247993000.0,3240202000.0,4322180000.0,3121422000.0,3281718000.0,2902130000.0,3464562000.0,2999995000.0,3376481000.0,2990591000.0,3539118000.0,2968822000.0,3310721000.0,3226173000.0,3953957000.0,3178200000.0,3854152000.0,3737783000.0,4125807000.0,3343482000.0,3705524000.0,3546623000.0,4059939000.0,3357247000.0,3981008000.0,,4878049000.0,3664516000.0,4238461000.0,,6080081000.0,4553035000.0,5711452000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,ES,5.97,6.64,6.2,6.92,6.32,7.84,6.54,7.05,5.91,7.92,6.9,7.95,5.74,7.48,7.62,8.69,8.08,9.53,7.92,9.05,8.09,9.97,9.2,10.01,7.96,9.72,8.29,9.09,8.62,11.32,11.46,12.28,10.14,12.92,11.11,,9.86,12.55,11.18,,8.41,11.11,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,ES,267286017.9,683208249.15,879746093.04,763338159.18,947328115.61,888346212.21,608346128.48,533346179.34,530533093.31,395583238.95,245583195.82,245583221.39,245583121.11,278883238.27,228883244.75,228883367.71,378883179.43,178883243.66,373883230.56,773883291.87,773883202.52,1483883361.19,957697083.24,549631308.55,1097288039.55,387296187.19,387310205.64,837319113.34,805519349.53,779289633.65,853066592.39,1216495892.36,532440293.06,700960211.09,1078186020.19,2302511146.56,3083635433.36,2802358072.91,1509880202.64,2698547261.74,2485914397.28,1364263677.59,2011968041.68,2762329053.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,ES,9.03,2.72,11.15,10.38,11.43,10.45,11.07,9.98,10.3,7.59,12.4,11.78,10.08,11.42,12.2,10.75,11.88,11.52,13.01,12.9,12.33,13.09,13.09,12.53,11.78,13.1,12.74,11.37,12.78,1.67,14.66,12.19,14.1,12.91,14.77,12.17,12.96,12.46,11.64,12.36,12.77,11.34,10.87,10.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,ES,2.37,0.48,2.22,1.86,2.4,1.79,2.17,1.82,2.39,1.29,2.34,2.19,2.47,2.01,2.26,1.73,2.3,1.91,2.46,2.11,2.37,2.09,2.33,2.11,2.38,2.12,2.5,1.99,2.62,0.26,2.6,1.96,2.5,1.81,2.45,1.91,2.54,1.83,1.94,2.08,2.96,1.92,2.26,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,VRNS,,,,,,11.92,9.67,7.03,10.94,8.55,7.36,5.19,6.27,6.08,8.01,10.03,8.93,10.6,12.4,13.97,16.18,20.17,24.83,24.42,17.63,19.88,20.65,19.93,25.9,21.22,29.49,38.47,54.54,51.34,57.62,60.85,48.78,47.54,29.32,26.52,23.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,VRNS,,,,,,73361949.0,73369167.0,73693332.0,74056812.0,74533938.0,74724363.0,77242710.0,78207000.0,78608676.0,79120251.0,80006235.0,80030157.0,81614370.0,82405185.0,82513134.0,83516247.0,84473985.0,86258463.0,87660909.0,88730640.0,88741815.0,90770715.0,91447356.0,91749933.0,94398810.0,94630557.0,95175942.0,95456862.0,106147395.0,106914031.0,107321063.0,107028201.0,107406930.0,109675310.0,109675310.0,109675310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Debt,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Term Debt,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215144000.0,216791000.0,218460000.0,220149000.0,221857000.0,223584000.0,225330000.0,247846000.0,248216000.0,248589000.0,248963000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash & Cash Equivalents,VRNS,,,,,9633000.0,125496000.0,120128000.0,115237000.0,76593000.0,77919000.0,69778000.0,69927000.0,49241000.0,54455000.0,56102000.0,41688000.0,48315000.0,51070000.0,53539000.0,53478000.0,56689000.0,70778000.0,73636000.0,67868000.0,48707000.0,64461000.0,69159000.0,52984000.0,68929000.0,77533000.0,239979000.0,231458000.0,234092000.0,753606000.0,781357000.0,803144000.0,805761000.0,775719000.0,753172000.0,754245000.0,367800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,VRNS,,,,,47254000.0,144506000.0,143344000.0,141668000.0,156847000.0,141818000.0,143593000.0,144645000.0,165144000.0,149811000.0,153728000.0,155874000.0,181838000.0,168142000.0,182440000.0,190994000.0,245638000.0,224925000.0,237067000.0,245879000.0,284978000.0,305446000.0,304020000.0,298152000.0,318312000.0,286982000.0,498296000.0,502519000.0,555482000.0,1037807000.0,1032332000.0,1058482000.0,1108537000.0,1051562000.0,1052287000.0,1058508000.0,1043732000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Liabilities,VRNS,,,,,46487000.0,42239000.0,44652000.0,48522000.0,61821000.0,57349000.0,62357000.0,65792000.0,81557000.0,71965000.0,79357000.0,79551000.0,99099000.0,88872000.0,100208000.0,103950000.0,130996000.0,119446000.0,133262000.0,135818000.0,159608000.0,195451000.0,203826000.0,200382000.0,224780000.0,206941000.0,419766000.0,419599000.0,461411000.0,459217000.0,461946000.0,481512000.0,511944000.0,515784000.0,525855000.0,526201000.0,541607000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,VRNS,,,,,12580000.0,17837000.0,18510000.0,25689000.0,17455000.0,24616000.0,25563000.0,33714000.0,22986000.0,29150000.0,31237000.0,43837000.0,30470000.0,38641000.0,40936000.0,55816000.0,39593000.0,49431000.0,53365000.0,73001000.0,53528000.0,62190000.0,67052000.0,87518000.0,56360000.0,59621000.0,65649000.0,72560000.0,54176000.0,66565000.0,76751000.0,95197000.0,74785000.0,88418000.0,100353000.0,126578000.0,96261000.0,111448000.0,123308000.0,142617000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Revenue,VRNS,,,,,-1349000.0,-1507000.0,-1652000.0,-1968000.0,-2042000.0,-2491000.0,-2590000.0,-2788000.0,-2833000.0,-2863000.0,-3044000.0,-3279000.0,-3496000.0,-3721000.0,-4116000.0,-4404000.0,-4693000.0,-4881000.0,-5423000.0,-5717000.0,-6442000.0,-6440000.0,-7052000.0,-7749000.0,-8326000.0,-8398000.0,-8768000.0,-9652000.0,-10180000.0,-10335000.0,-11284000.0,-12462000.0,-13482000.0,-14201000.0,-14338000.0,-17378000.0,-17809000.0,-17799000.0,-17198000.0,-17030000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Expenses,VRNS,,,,,-15266000.0,-17595000.0,-18985000.0,-22139000.0,-23345000.0,-26683000.0,-28087000.0,-30630000.0,-31704000.0,-32823000.0,-32738000.0,-37000000.0,-37763000.0,-40505000.0,-40751000.0,-43102000.0,-46832000.0,-50657000.0,-51069000.0,-59537000.0,-62583000.0,-67055000.0,-66833000.0,-75269000.0,-70035000.0,-75229000.0,-72856000.0,-76913000.0,-76666000.0,-78324000.0,-81919000.0,-89934000.0,-95378000.0,-102448000.0,-104570000.0,-127033000.0,-126537000.0,-131217000.0,-131692000.0,-135580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,VRNS,,,,,-4791000.0,-1636000.0,-2564000.0,1516000.0,-8074000.0,-4639000.0,-6354000.0,-331000.0,-12670000.0,-6322000.0,-4925000.0,2634000.0,-10350000.0,-6493000.0,-4389000.0,7039000.0,-11663000.0,-5737000.0,-3264000.0,6820000.0,-15046000.0,-12683000.0,-7317000.0,6468000.0,-22639000.0,-24488000.0,-16987000.0,-14650000.0,-31430000.0,-24323000.0,-19225000.0,-19032000.0,-35656000.0,-32948000.0,-23314000.0,-24943000.0,-48763000.0,-36290000.0,-28717000.0,-10748000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Capitalization,VRNS,,,,,,874474432.08,709479844.89,518064123.96,810181523.28,637265169.9,549971311.68,400889664.9,490357890.0,477940750.08,633753210.51,802462537.05,714669302.01,865112322.0,1021824294.0,1152708481.98,1351292876.46,1703840277.45,2141797636.29,2140679397.78,1564321183.2,1764187282.2,1874415264.75,1822545805.08,2376323264.7,2003142748.2,2790655125.93,3661418488.74,5206217253.48,5449607259.3,6160386466.22,6530486683.55,5220835644.78,5106125452.2,3215680089.2,2908589221.2,2625626921.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Value,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/MC,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,VRNS,,,,,29195000.0,36939000.0,39147000.0,49796000.0,42842000.0,53790000.0,56240000.0,67132000.0,57523000.0,64836000.0,67019000.0,84116000.0,71729000.0,82867000.0,85803000.0,103322000.0,91118000.0,104969000.0,109857000.0,138255000.0,122553000.0,135685000.0,140937000.0,170536000.0,134721000.0,143248000.0,147273000.0,159125000.0,141022000.0,155224000.0,169954000.0,197593000.0,183645000.0,205067000.0,219261000.0,270989000.0,240607000.0,260464000.0,272198000.0,295227000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV/EBIT,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netto Debt,VRNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Profit Margin,VRNS,,,,,-38.08,-9.17,-13.85,5.9,-46.26,-18.85,-24.86,-0.98,-55.12,-21.69,-15.77,6.01,-33.97,-16.8,-10.72,12.61,-29.46,-11.61,-6.12,9.34,-28.11,-20.39,-10.91,7.39,-40.17,-41.07,-25.88,-20.19,-58.01,-36.54,-25.05,-19.99,-47.68,-37.26,-23.23,-19.71,-50.66,-32.56,-23.29,-7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE,VRNS,,,,,,,,197.65,-7.9,-4.7,-6.82,-0.35,-15.0,-7.78,-6.25,3.15,-13.3,-8.73,-5.75,8.51,-14.71,-6.98,-3.75,5.95,-14.26,-12.22,-6.65,5.16,-20.58,-24.44,-17.37,-15.66,-39.27,-30.97,-23.18,-20.23,-6.16,-5.78,-4.04,-4.18,-9.1,-6.89,-5.39,-2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.39,17.42,14.24,20.98,19.32,26.48,29.65,27.83,31.4,28.12,31.39,30.81,45.98,66.06,76.09,66.26,70.6,94.05,76.93,80.66,105.66,90.6,87.83,116.71,103.86,89.16,67.88,58.05,49.59,55.16,45.59,40.42,32.6,42.83,64.94,81.14,93.81,69.4,79.42,84.29,84.91,103.16,118.18,95.37,,
Common Shares Outstanding,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33593696.0,33587744.0,32595062.0,32993267.0,33060853.0,33264117.0,33264117.0,33264117.0,33942748.0,33990589.0,34057679.0,33991094.0,34076566.0,33381779.0,32465015.0,32892767.0,31341444.0,31345101.0,31465218.0,31420593.0,31421972.0,31087285.0,30938031.0,31185669.0,31193069.0,31224470.0,31283411.0,31430031.0,31478851.0,31489923.0,31520485.0,31583938.0,31632661.0,31836930.0,31909166.0,31913183.0,30615908.0,30778154.0,30170600.0,30431143.0,30431143.0,29638833.0,29540174.0,29549990.0,,
Short Term Debt,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177000.0,167000.0,121000.0,74000.0,55000.0,6250000.0,7031000.0,7813000.0,8594000.0,9375000.0,10156000.0,10938000.0,11719000.0,12500000.0,0.0,3750000.0,5625000.0,5625000.0,9375000.0,13125000.0,17500000.0,21656000.0,14438000.0,26469000.0,28875000.0,31281000.0,0.0,5625000.0,11250000.0,16875000.0,22500000.0,22500000.0,22500000.0,22500000.0,78121000.0,81722000.0,61522000.0,66639000.0,13125000.0,17500000.0,17500000.0,17500000.0,17500000.0,17500000.0,,
Long Term Debt,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187555000.0,187500000.0,187500000.0,187500000.0,187500000.0,420033000.0,433601000.0,444169000.0,475735000.0,416301000.0,403082000.0,446863000.0,455640000.0,421418000.0,446692000.0,516900000.0,636009000.0,612455000.0,723952000.0,706202000.0,774501000.0,738265000.0,811579000.0,733843000.0,731736000.0,727318000.0,867835000.0,867574000.0,867376000.0,932277000.0,970243000.0,844401000.0,1363857000.0,665533000.0,490000000.0,501562000.0,835178000.0,831197000.0,827226000.0,823251000.0,819311000.0,815332000.0,811350000.0,807367000.0,,
Cash & Cash Equivalents,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51312000.0,86195000.0,66710000.0,52581000.0,54726000.0,22590000.0,18247000.0,18607000.0,14394000.0,16344000.0,18722000.0,20672000.0,16459000.0,18428000.0,22542000.0,21289000.0,21797000.0,20166000.0,19327000.0,33787000.0,21711000.0,38608000.0,19357000.0,84029000.0,57946000.0,23906000.0,21513000.0,128342000.0,33579000.0,12583000.0,11837000.0,54560000.0,643876000.0,22535000.0,12036000.0,11770000.0,330615000.0,261947000.0,263701000.0,310757000.0,185568000.0,120278000.0,65285000.0,224186000.0,,
Total Assets,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,739907000.0,732102000.0,747045000.0,772193000.0,771533000.0,1072809000.0,1097193000.0,1154208000.0,1224276000.0,1119894000.0,1142776000.0,1212354000.0,1262157000.0,1193533000.0,1257116000.0,1353923000.0,1531482000.0,1503541000.0,1599286000.0,1719716000.0,1838407000.0,1899307000.0,1876012000.0,1840956000.0,1883010000.0,1952385000.0,2133212000.0,2097503000.0,2211206000.0,2328371000.0,2395576000.0,2217631000.0,2812864000.0,2144687000.0,2065064000.0,1944165000.0,2263017000.0,2241850000.0,2204695000.0,2118224000.0,2132112000.0,2206370000.0,2305296000.0,2313254000.0,,
Total Liabilities,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372740000.0,356207000.0,368659000.0,379262000.0,379538000.0,674437000.0,688370000.0,725847000.0,763292000.0,668258000.0,677851000.0,727420000.0,752656000.0,688625000.0,734930000.0,846723000.0,987568000.0,939337000.0,1097546000.0,1162429000.0,1224685000.0,1227724000.0,1253274000.0,1115960000.0,1136028000.0,1169180000.0,1316354000.0,1293335000.0,1390029000.0,1474938000.0,1515426000.0,1349027000.0,1978970000.0,1270939000.0,1151940000.0,1132857000.0,1453064000.0,1461429000.0,1393921000.0,1359680000.0,1373774000.0,1409354000.0,1446680000.0,1444499000.0,,
Revenue,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319575000.0,267406000.0,296104000.0,318034000.0,323286000.0,369327000.0,437367000.0,478632000.0,512720000.0,390518000.0,426284000.0,482071000.0,510389000.0,441081000.0,492363000.0,578479000.0,659268000.0,559470000.0,799223000.0,654581000.0,786338000.0,780188000.0,756215000.0,744139000.0,731375000.0,799469000.0,848237000.0,748619000.0,833743000.0,884221000.0,884115000.0,737603000.0,814322000.0,823921000.0,810256000.0,750666000.0,727497000.0,787568000.0,853973000.0,761481000.0,876300000.0,972273000.0,1042423000.0,917466000.0,,
Cost of Revenue,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255187000.0,-220239000.0,-241386000.0,-252137000.0,-257066000.0,-301516000.0,-357665000.0,-384169000.0,-410119000.0,-327353000.0,-350352000.0,-387221000.0,-403468000.0,-355430000.0,-388238000.0,-446114000.0,-506978000.0,-450285000.0,-614990000.0,-511326000.0,-621475000.0,-606898000.0,-600847000.0,-575514000.0,-599573000.0,-642376000.0,-687164000.0,-633279000.0,-701767000.0,-720383000.0,-724377000.0,-633203000.0,-680206000.0,-657953000.0,-658355000.0,-645475000.0,-620011000.0,-651367000.0,-705865000.0,-656634000.0,-745730000.0,-797980000.0,-850897000.0,-765657000.0,,
Operating Expenses,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-41316000.0,-39803000.0,-42517000.0,-43081000.0,-44135000.0,-59647000.0,-62735000.0,-64735000.0,-66627000.0,-61997000.0,-61888000.0,-64118000.0,-67626000.0,-65078000.0,-68693000.0,-73347000.0,-78913000.0,-76918000.0,-94750000.0,-91508000.0,-98728000.0,-99763000.0,-107213000.0,-81433000.0,-105638000.0,-109360000.0,-114297000.0,-119448000.0,-104963000.0,-112361000.0,-117230000.0,-107592000.0,-111758000.0,-111486000.0,-104941000.0,-107482000.0,-106090000.0,-103192000.0,-104665000.0,-101137000.0,-106017000.0,-108681000.0,-114252000.0,-108709000.0,,
Net Income,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12966000.0,3485000.0,9645000.0,13282000.0,11861000.0,1462000.0,7199000.0,14666000.0,18660000.0,-3067000.0,7895000.0,16490000.0,20807000.0,9432000.0,20258000.0,33827000.0,30824000.0,15473000.0,51050000.0,31393000.0,38796000.0,43708000.0,28776000.0,45937000.0,17231000.0,29900000.0,27830000.0,-12054000.0,14279000.0,29896000.0,24229000.0,-11189000.0,-32418000.0,37024000.0,33926000.0,-4195000.0,898000.0,18165000.0,28717000.0,794000.0,19536000.0,43856000.0,54012000.0,24809000.0,,
Market Capitalization,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785756549.44,585098500.48,464153682.88,692198741.66,638735679.96,880833818.16,986281069.05,925740376.11,1065802287.2,955815362.68,1069070543.81,1047265606.14,1566840504.68,2205200320.74,2470262991.35,2179474741.42,2212705946.4,2948006749.05,2420619220.74,2534385031.38,3320045561.52,2816508021.0,2717287262.73,3639679428.99,3239712146.34,2783973745.2,2123517938.68,1824513299.55,1561036221.09,1736984152.68,1437018911.15,1276622773.96,1031224748.6,1363575711.9,2072181240.04,2589435668.62,2872078329.48,2136003887.6,2396149052.0,2565041043.47,2583908352.13,3057542012.28,3491057763.32,2818182546.3,,
Enterprise Value,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922176549.44,686570500.48,585064682.88,827191741.66,771564679.96,1284526818.16,1408666069.05,1359115376.11,1535737287.2,1365147362.68,1463586543.81,1484394606.14,2017740504.68,2620690320.74,2894412991.35,2678835741.42,2832542946.4,3545920749.05,3134619220.74,3219925031.38,4090335561.52,3537821021.0,3523947262.73,4315962428.99,3942377146.34,3518666745.2,2969839938.68,2569370299.55,2406083221.09,2673553152.68,2417924911.15,2088963773.96,1773705748.6,2029073711.9,2628266240.04,3160949668.62,3438163329.48,2771892887.6,2972799052.0,3095035043.47,3235151352.13,3770096012.28,4254622763.32,3418863546.3,,
EV/MC,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,1.17,1.26,1.2,1.21,1.46,1.43,1.47,1.44,1.43,1.37,1.42,1.29,1.19,1.17,1.23,1.28,1.2,1.29,1.27,1.23,1.26,1.3,1.19,1.22,1.26,1.4,1.41,1.54,1.54,1.68,1.64,1.72,1.49,1.27,1.22,1.2,1.3,1.24,1.21,1.25,1.23,1.22,1.21,,
EBIT,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616078000.0,527448000.0,580007000.0,613252000.0,624487000.0,730490000.0,857767000.0,927536000.0,989466000.0,779868000.0,838524000.0,933410000.0,981483000.0,861589000.0,949294000.0,1097940000.0,1245159000.0,1086673000.0,1508963000.0,1257415000.0,1506541000.0,1486849000.0,1464275000.0,1401086000.0,1436586000.0,1551205000.0,1649698000.0,1501346000.0,1640473000.0,1716965000.0,1725722000.0,1478398000.0,1606286000.0,1593360000.0,1573552000.0,1503623000.0,1453598000.0,1542127000.0,1664503000.0,1519252000.0,1728047000.0,1878934000.0,2007572000.0,1791832000.0,,
EV/EBIT,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1.3,1.01,1.35,1.24,1.76,1.64,1.47,1.55,1.75,1.75,1.59,2.06,3.04,3.05,2.44,2.27,3.26,2.08,2.56,2.72,2.38,2.41,3.08,2.74,2.27,1.8,1.71,1.47,1.56,1.4,1.41,1.1,1.27,1.67,2.1,2.37,1.8,1.79,2.04,1.87,2.01,2.12,1.91,,
Netto Debt,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177003.66,167002.18,121002.81,74003.57,55003.43,6250018.59,7031023.76,7813023.87,8594033.05,9375025.47,10156021.53,10938021.62,11719027.68,12500022.87,19.82,3750024.28,5625029.18,5625030.37,9375037.46,13125020.9,17500035.67,21656019.12,14438041.93,26469008.73,28875012.63,31281030.42,40.34,5625006.76,11250025.83,16875074.09,22500081.97,22500015.48,22500002.12,22500029.53,78121040.71,81722042.61,61522002.53,66639003.17,13125003.14,17500002.65,17500004.42,17500006.78,17500012.43,17500003.6,,
Net Profit Margin,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.06,1.3,3.26,4.18,3.67,0.4,1.65,3.06,3.64,-0.79,1.85,3.42,4.08,2.14,4.11,5.85,4.68,2.77,6.39,4.8,4.93,5.6,3.81,6.17,2.36,3.74,3.28,-1.61,1.71,3.38,2.74,-1.52,-3.98,4.49,4.19,-0.56,0.12,2.31,3.36,0.1,2.23,4.51,5.18,2.7,,
ROE,DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.53,0.93,2.55,3.38,3.03,0.37,1.76,3.42,4.05,-0.68,1.7,3.4,4.08,1.87,3.88,6.67,5.67,2.74,10.17,5.63,6.32,6.51,4.62,6.34,2.31,3.82,3.41,-1.5,1.74,3.5,2.75,-1.29,-3.89,4.24,3.72,-0.52,0.11,2.33,3.54,0.1,2.58,5.5,6.29,2.86,,
Close,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.13,29.56,31.3,33.47,33.06,37.9,43.84,37.65,33.39,26.59,29.65,35.56,36.27,32.52,24.94,24.01,24.57,24.26,20.77,21.16,20.62,18.04,19.15,20.03,22.3,27.44,26.55,27.25,22.25,18.38,16.5,14.24,6.35,5.91,4.33,12.25,17.7,14.57,13.53,13.17,13.82,14.43,15.23,10.31,,
Common Shares Outstanding,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88126000.0,89276000.0,89392000.0,89474028.0,90025160.0,90285698.0,90666258.0,90723844.0,90790943.0,90665280.0,89120399.0,88226867.0,88402131.0,88679009.0,88743585.0,86610122.0,81918071.0,82016774.0,80368000.0,80180000.0,80193776.0,80343000.0,79988000.0,79998282.0,80065541.0,80203425.0,80293808.0,80349329.0,78432410.0,75232910.0,72644417.0,71748520.0,72024207.0,72107333.0,72323917.0,72392877.0,72402048.0,72867000.0,72999647.0,73191000.0,73191000.0,72923000.0,64245000.0,64245000.0,,
Short Term Debt,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62500000.0,62500000.0,62500000.0,62500000.0,62500000.0,,,,,,,
Long Term Debt,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160000000.0,235000000.0,235000000.0,235000000.0,190000000.0,393000000.0,393000000.0,274635000.0,272319000.0,274887000.0,184569000.0,165422000.0,225536000.0,306861000.0,387441000.0,415467000.0,281035000.0,,
Cash & Cash Equivalents,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76547000.0,61059000.0,134322000.0,81097000.0,82405000.0,68929000.0,86909000.0,112021000.0,132900000.0,87406000.0,96394000.0,59171000.0,206868000.0,151007000.0,90019000.0,32495000.0,59462000.0,62324000.0,60962000.0,110657000.0,79673000.0,89305000.0,149485000.0,175932000.0,197162000.0,215996000.0,222419000.0,99369000.0,70671000.0,51762000.0,87838000.0,86564000.0,250874000.0,206720000.0,114531000.0,59581000.0,49301000.0,46458000.0,83069000.0,72691000.0,54802000.0,50799000.0,62507000.0,58766000.0,,
Total Assets,DBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1263607000.0,1307675000.0,1302558000.0,1262103000.0,1284774000.0,1366173000.0,1391774000.0,1421244000.0,1431345000.0,1433767000.0,1450232000.0,1438243000.0,1521960000.0,1514064000.0,1458028000.0,1369109000.0,1456990000.0,1458975000.0,1431915000.0,1428476000.0,1479722000.0,1446629000.0,1440385000.0,1421517000.0,1431618000.0,1445016000.0,1474629000.0,1620584000.0,2549168000.0,2557246000.0,2536978000.0,2465070000.0,2437841000.0,2273257000.0,2226721000.0,1976595000.0,2032465000.0,1946049000.0,2093944000.0,2014634000.0,2087744000.0,2102439000.0,2171378000.0,2009618000.0,,
